,,,,,,,,,,,,,,,,,,,,,,,,State,State - Abv,Eligible States,Not Eligible,Products,Price,Link,Allow States,BMI STATUS,STRIVE STATES,
,State,Arkansas,AR,,Not Eligible 'Out Of State',,,,,,,,,,,,,,,,,,,Alabama,AL,no,Alabama,(6% Fee) Tirzepatide 52mg + 2 Slim Boost + 3 Nutrition Consultation + 3 Lipo-Mino + 3 NAD+,"$3,926.25",https://buy.stripe.com/8x29AS37h7x9efz01r0JN44,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Arizona,AZ
,,,,,Try selling the products listed Above (ROW 30),,,,,,,,,,,,,,,,,,,Alaska,AK,no,Alaska,Tirzepatide 52mg + 2 Slim Boost + 3 Nutrition Consultation + 3 Lipo-Mino + 3 NAD+,"$3,704.01",https://buy.stripe.com/eVq00idLVg3F8Vf5lL0JN43,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,California,CA
,,,,,,,,,,,,,,,,,,,,,,,,Arizona,AZ,yes,Arkansas,(6% Fee) Semaglutide 7mg + 2 Slim Boost + 3 Nutrition Consultation + 3 Lipo-Mino + 3 NAD+,"$3,491.65",https://buy.stripe.com/bJecN4fU33gTefz01r0JN46,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Colorado,CO
,,,,,,,,,,,,,,,,,,,,,,,,Arkansas,AR,no,District of Columbia,Semaglutide 7mg + 2 Slim Boost + 3 Nutrition Consultation + 3 Lipo-Mino + 3 NAD+,"$3,294.01",https://buy.stripe.com/cNicN4cHR8Bd5J329z0JN45,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Connecticut,CT
,Weight Loss Goal Calculator,,,,,,,,,Payment plans calculator,,,,,,,,,,,,,,California,CA,yes,Kansas,(6% Fee) Tirzepatide 52mg + 2 Slim Boost + 3 Nutrition Consultation + 3 NAD+,"$2,983.91",https://buy.stripe.com/7sY4gy37heZBfjD7tT0JN3W,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Delaware,DE
,,,,,,,,,,,,,,,,,,,,,,,,Colorado,CO,yes,Kentucky,(6% Fee) Tirzepatide 52mg + 2 Slim Boost + 3 Nutrition Consultation + 3 Lipo-Mino,"$2,983.91",https://buy.stripe.com/9B65kC4bl18L2wR3dD0JN3X,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Florida,FL
,Height (cm),170,,,,Kg,Pound,,,Full price:,,"$1,776",,,,,,,,,,,,Connecticut,CT,yes,Mississippi,Tirzepatide 52mg + 2 Slim Boost + 3 Nutrition Consultation + 3 NAD+,"$2,815.01",https://buy.stripe.com/cNi28q0Z93gT9Zj7tT0JN3V,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Georgia,GA
,Current weight (lb),50,,,Kg to pound,106,233,,,Discounts:,,$0,,,,,,,,,,,,Delaware,DE,yes,West Virginia,Tirzepatide 52mg + 2 Slim Boost + 3 Nutrition Consultation + 3 Lipo-Mino,"$2,815.01",https://buy.stripe.com/00wdR84blcRtdbvbK90JN3Y,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Hawaii,HI
,BMI,7,,,,,,,,Down:,,$0,,,,,,,,,,,,District of Columbia,DC,no,Idaho,(6% Fee) Semaglutide 7 + 2 Slim Boost + 3 Nutrition Consultation + 3 NAD+,"$2,549.31",https://buy.stripe.com/bJe6oG37haJl5J329z0JN42,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Idaho,ID
,,,,,,Pound,Kg,,,To be paid:,,"$1,776",,,,,,,,,,,,Florida,FL,yes,,(6% Fee) Semaglutide 7mg + 2 Slim Boost + 3 Nutrition Consultation + 3 Lipo-Mino,"$2,549.31",https://buy.stripe.com/4gM9AS8rBaJl6N7aG50JN40,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,Illinois,IL
